"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15823","Malicious actor should not impersonate a consumer by creating a VP with the consumer membership credential","","Mon Aug 18 04:00:07 GMT 2025","passed","Mon Aug 18 04:00:23 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withWrappedConsumerCredential"
"","5078","Contract policy is fulfilled DataExchangeGovernance use case","","Mon Aug 18 04:03:20 GMT 2025","passed","Mon Aug 18 04:03:25 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","1339","The Authorization header is missing","","Mon Aug 18 03:59:21 GMT 2025","passed","Mon Aug 18 03:59:23 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_missingAuthHeader"
"","58","Policy is accepted PCF Use Case (legacy notation)","","Mon Aug 18 03:59:37 GMT 2025","passed","Mon Aug 18 03:59:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","15728","Expect the Catalog request to fail if a credential is expired","","Mon Aug 18 04:02:35 GMT 2025","passed","Mon Aug 18 04:02:50 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialExpired"
"","6478","transferFile_success()","","Mon Aug 18 04:00:42 GMT 2025","passed","Mon Aug 18 04:00:48 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_success"
"","1884","Verify the refresh endpoint is not called when auto_refresh=false","","Mon Aug 18 03:59:38 GMT 2025","passed","Mon Aug 18 03:59:40 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_whenNotAutorefresh_shouldNotCallEndpoint"
"","2037","transferFile_targetContainerNotExist_shouldFail(Vault)","","Mon Aug 18 04:00:19 GMT 2025","passed","Mon Aug 18 04:00:21 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_targetContainerNotExist_shouldFail"
"","39","Policy is accepted Dismantler allowedBrands (IN, fully contained)","","Mon Aug 18 03:59:37 GMT 2025","passed","Mon Aug 18 03:59:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","1938","Contract policy is NOT fulfilled Sustainability Use Case (legacy notation)","","Mon Aug 18 04:02:50 GMT 2025","passed","Mon Aug 18 04:02:52 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","2547","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon Aug 18 03:59:38 GMT 2025","passed","Mon Aug 18 03:59:41 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpnLegacy_WithNamespace_shouldReject"
"","2997","Contract policy is fulfilled PCF Use Case (new notation)","","Mon Aug 18 04:01:32 GMT 2025","passed","Mon Aug 18 04:01:35 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
